id,price, diagonal, cpu, rom, ram, camera, battery, ppi
Digma Vox S502F 3G  Grey Titan                              ,   5690.00,     5.5,    1.30,     8.0,    1024,       8,    2700,     267
Lenovo B (A2016)  Red                                       ,   4829.00,     4.5,    1.00,     8.0,    1024,       5,    2000,     217
Samsung SM-G935F Galaxy S7 Edge (32GB)  Blue Coral          ,  49990.00,     5.5,    2.30,    32.0,    4096,      12,    3600,     534
Lenovo K6 Note (K53A48)  Dark Grey                          ,  14990.00,     5.5,    1.40,    32.0,    3072,      16,    4000,     400
Meizu M5 32GB  Gold                                         ,  12990.00,     5.2,    1.50,    32.0,    3072,      13,    3070,     282
HTC Desire 650  Lime Light                                  ,  11990.00,     5.0,    1.60,    16.0,    2048,      13,    2200,     293
HTC U Play 64GB  Sapphire Blue                              ,  21989.20,     5.2,    2.00,    64.0,    4096,      16,    2500,     423
LG G4c H522y  Titan Gold                                    ,   9590.00,     5.0,    1.50,     8.0,    1024,       8,    2540,     293
Alcatel OT-5022D Pop Star  White Silver Gold                ,   6790.00,     5.0,    1.30,     8.0,    1024,       8,    2000,     293
ASUS ZenFone 2 Laser ZE601KL  Gold (90AZ0113-M00380)        ,  14799.00,     6.0,    1.70,    32.0,    3072,      13,    3000,     367
Sony Xperia X  Graphite Black                               ,  23989.00,     5.0,    1.80,    32.0,    3072,      23,    2620,     440
Sony Xperia XA dual  White                                  ,  14990.30,     5.0,    2.00,    16.0,    2048,      13,    2300,     293
Sony Xperia XA Ultra  Lime Gold                             ,  19990.90,     6.0,    2.00,    16.0,    3072,      21,    2700,     367
Meizu MX6  Silver White                                     ,  19990.00,     5.5,    1.90,    32.0,    4096,      12,    3060,     400
Apple iPhone 6s Plus 32GB  Rose                             ,  41988.50,     5.5,    1.80,    32.0,    2048,      12,    2750,     400
Caterpillar Cat S60  Black                                  ,  49900.00,     4.7,    1.50,    32.0,    3072,      13,    3800,     312
ZTE Blade A210  White                                       ,   5301.00,     4.5,    1.00,     8.0,    1024,       5,    2200,     217
Lenovo K6 Note (K53A48)  Gold                               ,  14190.00,     5.5,    1.40,    32.0,    3072,      16,    4000,     400
Motorola Moto M  Gold (XT1663)                              ,  19990.00,     5.5,    1.80,    32.0,    3072,      16,    3050,     400
Lumigon T3 Standard  Steel Black                            , 107900.00,     4.8,    2.00,   128.0,    3072,      13,    2285,     305
HTC One X10  Silver                                         ,  19990.00,     5.5,    2.00,    32.0,    3072,      16,    4000,     400
Lenovo Vibe Shot (Z90a40)  Red                              ,  17400.00,     5.0,    1.70,    32.0,    3072,      16,    2900,     440
Sony Xperia Z5 Premium  Gold                                ,  42190.00,     5.5,    2.00,    32.0,    3072,      23,    3430,     801
ASUS ZenFone Zoom ZX551ML  Black (90AZ00X1-M00740)          ,  24632.00,     5.5,    2.50,   128.0,    4096,      13,    3000,     400
Sony Xperia X  White                                        ,  23989.00,     5.0,    1.80,    32.0,    3072,      23,    2620,     440
Alcatel OT-4034D Pixi 4 (4.0)  Pink                         ,   3059.00,     4.0,    1.30,     4.0,     512,       3,    1500,     233
Sony Xperia XA Ultra  White                                 ,  19989.50,     6.0,    2.00,    16.0,    3072,      21,    2700,     367
Meizu MX6  Gold White                                       ,  19990.00,     5.5,    1.90,    32.0,    4096,      12,    3060,     400
Apple iPhone 6s Plus 32GB  Silver                           ,  41988.50,     5.5,    1.80,    32.0,    2048,      12,    2750,     400
Meizu M3E  Gold White                                       ,  13990.00,     5.5,    1.80,    32.0,    3072,      13,    3100,     400
ZTE Blade V7 Lite  Gold                                     ,   9990.00,     5.0,    1.00,    16.0,    2048,      13,    2500,     293
Xiaomi Mi 4 (16GB)  White (MI416GBW)                        ,   9790.00,     5.0,    2.50,    16.0,    3072,      13,    3080,     440
Neffos C5 Max  White                                        ,   7990.00,     5.5,    1.30,    16.0,    2048,      13,    3045,     400
Lumigon T3 Standard  Steel Orange                           ,  46253.90,     4.8,    2.00,   128.0,    3072,      13,    2285,     305
Meizu M5 Note 16GB  Gold White                              ,  14990.30,     5.5,    1.80,    16.0,    3072,      13,    4000,     400
