id,price, diagonal, cpu, rom, ram, camera, battery, ppi
RugGear RG310 Voyager  Black                                ,  12090.00,     2.4,    1.00,     4.0,     512,       5,    3600,     166
Apple iPhone 7 Plus 256GB  Jet Black                        ,  64991.60,     5.5,    2.37,   256.0,    3072,      12,    2900,     400
Samsung SM-G532F Galaxy J2 Prime DS  Gold                   ,   8990.00,     5.0,    1.45,     8.0,    1536,       8,    2600,     220
Moto Z  Black                                               ,  44990.00,     5.5,    1.80,    32.0,    4096,      13,    2600,     534
Huawei Y5 II (CUN-U29)  Black                               ,   6490.00,     5.0,    1.30,     8.0,    1024,       8,    2200,     293
HTC 10 Evo  Gunmetal                                        ,  29990.00,     5.5,    2.00,    64.0,    3072,      16,    3200,     534
Doogee Shoot 1  Grey                                        ,   8491.50,     5.5,    1.45,    16.0,    2048,      13,    3300,     400
Samsung Galaxy S8 SM-G950  Gold                             ,  49991.40,     5.8,    2.30,    64.0,    4096,      12,    3000,     567
BQ 4526 Fox  Wine Red                                       ,   3790.00,     4.5,    1.20,     8.0,    1024,       5,    1500,     217
Caterpillar Cat S40  Black                                  ,  23790.00,     4.7,    1.10,    16.0,    1024,       8,    3000,     234
Philips S337  Black Red                                     ,   4990.00,     5.0,    1.30,     8.0,    1024,       5,    2000,     195
Neffos C5  Dark Grey                                        ,   7590.00,     5.0,    1.30,    16.0,    2048,       8,    2200,     293
Meizu Pro 6 32GB  Silver White                              ,  23990.00,     5.2,    2.50,    32.0,    4096,      21,    2560,     423
HTC Desire 630 DS  Dark Grey                                ,   9590.00,     5.0,    1.60,    16.0,    2048,      13,    2200,     293
Neffos Y5L  Dark Grey                                       ,   3990.00,     4.5,    1.10,     8.0,    1024,       5,    2020,     217
ZTE Blade A910  Gold                                        ,  12231.00,     5.5,    1.30,    16.0,    2048,      13,    2540,     267
Samsung SM-G532F Galaxy J2 Prime DS  Silver                 ,   8990.00,     5.0,    1.45,     8.0,    1536,       8,    2600,     220
Moto Z  White Gold                                          ,  44990.00,     5.5,    1.80,    32.0,    4096,      13,    2600,     534
Huawei GR3 LTE (TAG-L21)  Grey                              ,  11990.00,     5.0,    1.50,    16.0,    2048,      13,    2200,     293
Samsung SM-A720F Galaxy A7 (2017)  Blue                     ,  29990.00,     5.7,    1.90,    32.0,    3072,      16,    3600,     386
Highscreen Easy XL Pro  Brown                               ,   7990.00,     5.5,    1.45,    16.0,    2048,      13,    3300,     267
Samsung Galaxy S8+ SM-G955 64GB  Amethyst                   ,  54992.80,     6.2,    2.30,    64.0,    4096,      12,    3500,     530
BQ 4560 Golf  Blue                                          ,   3990.00,     4.5,    1.30,     8.0,     512,       5,    1900,     217
Meizu M2 Note  Gray                                         ,  12990.00,     5.5,    1.30,    16.0,    2048,      13,    3100,     400
Philips Xenium V377  Black Red                              ,   8290.00,     5.0,    1.30,     8.0,    1024,       5,    5000,     293
Neffos C5  White                                            ,   7590.00,     5.0,    1.30,    16.0,    2048,       8,    2200,     293
Meizu Pro 6 32GB  Gold White                                ,  23990.00,     5.2,    2.50,    32.0,    4096,      21,    2560,     423
HTC Desire 630 DS  Sprinkle White                           ,   9590.00,     5.0,    1.60,    16.0,    2048,      13,    2200,     293
Neffos Y5L  Pearl White                                     ,   3589.00,     4.5,    1.10,     8.0,    1024,       5,    2020,     217
BB-mobile Techno Искра 5.0 3G X595BT  Black                 ,   4590.00,     5.0,    1.30,     8.0,    1024,       8,    2500,     293
Meizu U20 16GB  Black                                       ,  11990.00,     5.5,    1.80,    16.0,    2048,      13,    3260,     400
Philips X586  Champagne White                               ,   9490.00,     5.0,    1.50,    16.0,    2048,      13,    3000,     293
Huawei P9 Lite (VNS-L21)  White                             ,  14190.00,     5.2,    2.00,    16.0,    2048,      13,    3000,     423
Samsung SM-A720F Galaxy A7 (2017)  Gold                     ,  29990.00,     5.7,    1.90,    32.0,    3072,      16,    3600,     386
Samsung SM-A320F Galaxy A3 (2017)  Gold                     ,  17989.00,     4.7,    1.90,    16.0,    2048,      13,    2350,     312
Samsung Galaxy S8+ SM-G955 64GB  Black                      ,  54992.80,     6.2,    2.30,    64.0,    4096,      12,    3500,     530
BQ 4560 Golf  Gold                                          ,   3990.00,     4.5,    1.30,     8.0,     512,       5,    1900,     217
Meizu M2 Note  White                                        ,  14390.00,     5.5,    1.30,    16.0,    2048,      13,    3100,     400
Philips Xenium V787  Black                                  ,  15921.00,     5.0,    1.30,    16.0,    2048,      13,    5000,     440
Samsung SM-J710FN Galaxy J7  Black                          ,  15990.00,     5.5,    1.90,    16.0,    2048,      13,    3300,     267
Meizu Pro 6 64GB  Gold White                                ,  25990.00,     5.2,    2.50,    64.0,    4096,      21,    2560,     423
ASUS ZenFone Zoom ZX551ML  White + вспышка (90AZ00X2-M01380),  27696.60,     5.5,    2.50,   128.0,    4096,      13,    3000,     400
Neffos Y5L  Sunny Yellow                                    ,   3589.00,     4.5,    1.10,     8.0,    1024,       5,    2020,     217
Micromax Canvas Xpress 4G Q413  Blue                        ,   7290.00,     5.0,    1.00,    16.0,    2048,       8,    2000,     293
Meizu U20 32GB  Silver                                      ,  13990.00,     5.5,    1.80,    32.0,    3072,      13,    3260,     400
Alcatel OT-5045D Pixi 4 (5")  Sharp Blue                    ,   5090.00,     5.0,    1.30,     8.0,    1024,       8,    2000,     195
Huawei Nova LTE (CAN-L11)  Grey                             ,  18590.00,     5.0,    2.00,    32.0,    3072,      12,    3020,     440
Meizu U20 32GB  Gold                                        ,  13990.00,     5.5,    1.80,    32.0,    3072,      13,    3260,     400
HTC 10  Topaz Gold                                          ,  32990.00,     5.2,    2.20,    32.0,    4096,      12,    3000,     564
Samsung Galaxy S8+ SM-G955 64GB  Gold                       ,  54992.80,     6.2,    2.30,    64.0,    4096,      12,    3500,     530
BQ 4560 Golf  Pink                                          ,   3990.00,     4.5,    1.30,     8.0,     512,       5,    1900,     217
Sony Xperia Z5 Compact  White                               ,  22989.90,     4.6,    2.00,    32.0,    2048,      23,    2700,     319
Alcatel OT-5070D Pop Star  Slate                            ,   5990.20,     5.0,    1.00,     8.0,    1024,       8,    2000,     293
Samsung SM-J710FN Galaxy J7  White                          ,  15990.00,     5.5,    1.90,    16.0,    2048,      13,    3300,     267
Meizu Pro 6 32GB  Gray Black                                ,  23990.00,     5.2,    2.50,    32.0,    4096,      21,    2560,     423
Sony Xperia X Performance  Lime Gold                        ,  37490.00,     5.0,    2.20,    32.0,    3072,      23,    2700,     440
Lenovo Vibe S1 Lite (S1La40)  Blue                          ,   8390.00,     5.0,    1.30,    16.0,    2048,      13,    2700,     440
Micromax Canvas Juice 2 Q392  Cosmic grey                   ,   6659.00,     5.0,    1.30,     8.0,    2048,       8,    4000,     293
Digma VOX S503 4G  White                                    ,   8360.00,     5.0,    1.30,    16.0,    1024,       8,    2000,     293
Alcatel OT-5045D Pixi 4 (5")  Vivid Green                   ,   5090.00,     5.0,    1.30,     8.0,    1024,       8,    2000,     195
Huawei Nova LTE (CAN-L11)  Silver                           ,  18590.00,     5.0,    2.00,    32.0,    3072,      12,    3020,     440
RugGear RG740  Black Yellow                                 ,  26990.00,     4.7,    1.20,    16.0,    2048,      13,    3950,     312
Samsung SM-A320F Galaxy A3 (2017)  Blue                     ,  17989.00,     4.7,    1.90,    16.0,    2048,      13,    2350,     312
ASUS ZenFone Live ZB501KL  Gold (90AK0072-M00140)           ,   9790.00,     5.0,    1.20,    32.0,    2048,      13,    2650,     293
BQ 5020 Strike  Dark Gray                                   ,   5490.00,     5.0,    1.30,     8.0,    1024,      13,    2000,     293
Meizu MX5 16GB  Grey Black                                  ,  14392.00,     5.5,    2.20,    16.0,    3072,       5,    3150,     400
Samsung SM-J120F Galaxy J1 (2016)  Gold                     ,   6990.00,     4.5,    1.30,     8.0,    1024,       5,    2050,     207
Samsung SM-J510FN Galaxy J5 (2016)  Gold                    ,  13990.00,     5.2,    1.20,    16.0,    2048,      13,    3100,     282
ZTE Blade V7 Lite  Grey                                     ,  10521.00,     5.0,    1.00,    16.0,    2048,      13,    2500,     293
Sony Xperia X Performance  Rose Gold                        ,  37490.00,     5.0,    2.20,    32.0,    3072,      23,    2700,     440
Alcatel OT-4034D Pixi 4 (4.0)  Red                          ,   3059.00,     4.0,    1.30,     4.0,     512,       3,    1500,     233
Micromax Bolt Q424  Green                                   ,   4748.90,     4.5,    1.00,     8.0,    1024,       5,    1750,     217
ASUS ZenFone 3 Max ZC520TL  Gold (90AX0085-M00300)          ,  11490.00,     5.2,    1.30,    16.0,    2048,      13,    4130,     282
Alcatel OT-5045D Pixi 4 (5")  Amber Orange                  ,   5090.00,     5.0,    1.30,     8.0,    1024,       8,    2000,     195
Huawei Nova LTE (CAN-L11)  Gold                             ,  18590.00,     5.0,    2.00,    32.0,    3072,      12,    3020,     440
Highscreen Easy XL  Brown                                   ,   7290.00,     5.5,    1.45,     8.0,    1024,       8,    3300,     267
Apple iPhone 7 (PRODUCT)RED Special Edition 128GB           ,  51987.90,     4.7,    2.37,     8.0,    2048,      12,    1960,     325
Archos 50 Titanium                                          ,   4969.00,     5.0,    1.50,     8.0,    1024,       5,    2000,     195
BQ 5020 Strike  Red                                         ,   5490.00,     5.0,    1.30,     8.0,    1024,      13,    2000,     293
BQ 5020 Strike SE  Gold Brushed                             ,   5790.00,     5.0,    1.30,    16.0,    1024,      13,    2000,     293
Meizu MX5 16GB  Silver White                                ,  16794.00,     5.5,    2.20,    16.0,    3072,       5,    3150,     400
Samsung SM-J120F Galaxy J1 (2016)  Black                    ,   6990.00,     4.5,    1.30,     8.0,    1024,       5,    2050,     207
Samsung SM-J510FN Galaxy J5 (2016)  Black                   ,  13990.00,     5.2,    1.20,    16.0,    2048,      13,    3100,     282
Sony Xperia X dual  Lime Gold                               ,  24990.60,     5.0,    1.80,    64.0,    3072,      23,    2620,     440
Sony Xperia X Performance  White                            ,  27602.90,     5.0,    2.20,    32.0,    3072,      23,    2700,     440
ZTE Blade L110  Yellow                                      ,   2990.00,     4.0,    1.30,     8.0,    1024,       5,    1400,     233
ASUS ZenFone 3 ZE552KL  Moonlight White (90AZ0122-M01150)   ,  21290.00,     5.5,    2.00,    64.0,    4096,      16,    3000,     400
Lenovo C2 Power (K10a40)  Black                             ,  11390.00,     5.0,    1.00,    16.0,    2048,       8,    3500,     293
Alcatel OT-5080X Shine Lite  Gold                           ,   8590.00,     5.0,    1.30,    16.0,    2048,      13,    2460,     293
Huawei P9 Lite (VNS-L21)  Black                             ,  14190.00,     5.2,    2.00,    16.0,    2048,      13,    3000,     423
Meizu M5 16GB  Black                                        ,  10990.00,     5.2,    1.50,    16.0,    2048,      13,    3070,     282
Apple iPhone 7 (PRODUCT)RED Special Edition 256GB           ,  54991.30,     4.7,    2.37,   256.0,    2048,      12,    1960,     325
Archos 50d Oxygen                                           ,   7839.30,     5.0,    1.30,    16.0,    2048,      13,    2100,     440
BQ 5020 Strike  Yellow                                      ,   5490.00,     5.0,    1.30,     8.0,    1024,      13,    2000,     293
BQ 5022 Bond  Black                                         ,   5990.00,     5.0,    1.30,     8.0,    1024,       8,    2300,     293
Apple iPhone 8 Plus 64GB  Silver                            ,  64990.00,     5.5,    2.40,    64.0,    3072,      12,    2675,     400
ASUS ZenFone Selfie ZD551KL (16GB)  Pink (90AZ00U3-M01250)  ,  11977.00,     5.5,    1.50,    16.0,    2048,      13,    3000,     400
Samsung SM-J120F Galaxy J1 (2016)  White                    ,   6990.00,     4.5,    1.30,     8.0,    1024,       5,    2050,     207
ZTE Blade A476  White                                       ,   8721.00,     5.0,    1.00,    16.0,    2048,      13,    2200,     293
Sony Xperia X dual  Rose Gold                               ,  24989.90,     5.0,    1.80,    64.0,    3072,      23,    2620,     440
Sony Xperia X Performance dual  Graphite Black              ,  27989.70,     5.0,    2.20,    64.0,    3072,      23,    2700,     440
OnePlus 3  Graphite                                         ,  31061.00,     5.5,    2.20,    64.0,    6144,      16,    3000,     400
ASUS ZenFone 3 Max ZC520TL  Grey (90AX0086-M00310)          ,  11490.00,     5.2,    1.30,    16.0,    2048,      13,    4130,     282
Lenovo C2 Power (K10a40)  White                             ,  11390.00,     5.0,    1.00,    16.0,    2048,       8,    3500,     293
ZTE Nubia Z11 Max  Gold                                     ,  29390.00,     6.0,    1.80,    64.0,    4096,      16,    4000,     367
BQ 5020 Strike  Black Brushed                               ,   5490.00,     5.0,    1.30,     8.0,    1024,      13,    2000,     293
BQ 5022 Bond  Dark Gray                                     ,   5990.00,     5.0,    1.30,     8.0,    1024,       8,    2300,     293
BQ 5515 Wide LTE  Tiffany Blue                              ,   6790.00,     5.5,    1.30,     8.0,    1024,      13,    2800,     267
OnePlus 3T  Gunmetal (A3003)                                ,  33990.00,     5.5,    2.35,    64.0,    6144,      16,    3400,     400
Doogee Y6C  Moon Blue                                       ,   7990.00,     5.5,    1.30,    16.0,    2048,       8,    3200,     267
Prestigio Muze G3 LTE  Wine                                 ,   5090.00,     5.0,    1.30,     8.0,    1024,       8,    2400,     293
Micromax Bolt Mega Q397  Space Grey                         ,   5990.00,     5.5,    1.40,    16.0,    1024,       8,    2650,     267
Vertex Impress InTouch  Gold                                ,   7590.00,     5.0,    1.25,     8.0,    1024,      13,    2400,     293
OnePlus 5 128GB  Midnight Black                             ,  44990.00,     5.5,    2.45,     8.0,    8192,      16,    3300,     400
Sony Xperia XA1  White                                      ,  21990.00,     5.0,    2.30,    32.0,    3072,      23,    2300,     293
Apple iPhone 8 Plus 64GB  Gold                              ,  64990.00,     5.5,    2.40,    64.0,    3072,      12,    2675,     400
BQ Aquaris M5 16+3GB  Black                                 ,  15651.00,     5.0,    1.50,    16.0,    3072,      13,    3120,     440
Samsung SM-G930F Galaxy S7 (32GB)  Gold                     ,  39990.00,     5.1,    2.30,    32.0,    4096,      12,    3000,     575
ZTE Blade A476  Black                                       ,   7693.20,     5.0,    1.00,    16.0,    2048,      13,    2200,     293
Sony Xperia X dual  White                                   ,  24990.00,     5.0,    1.80,    64.0,    3072,      23,    2620,     440
Alcatel OT-9001D Pixi 4 (6")  Black Silver                  ,   7790.00,     6.0,    1.10,    16.0,    1536,       8,    2580,     244
ASUS ZenFone 2 Laser ZE550KL 32GB  White                    ,  13950.00,     5.5,    1.50,    32.0,    3072,      13,    3000,     267
BQ 5022 Bond  Gold                                          ,   5990.00,     5.0,    1.30,     8.0,    1024,       8,    2300,     293
BQ 5515 Wide LTE  White                                     ,   6790.00,     5.5,    1.30,     8.0,    1024,      13,    2800,     267
OnePlus 3T  Soft Gold                                       ,  33990.00,     5.5,    2.35,    64.0,    6144,      16,    3400,     400
Alcatel OT-5044D U5  Cocoa Grey                             ,   4990.00,     5.0,    1.10,     8.0,    1024,       5,    2050,     195
Elari SafePhone  Black                                      ,   4890.00,     2.4,    1.00,     4.0,     512,       5,    1600,     166
Micromax Bolt Q346 Lite  Champagne                          ,   3409.00,     4.5,    1.20,     8.0,     512,       5,    1700,     217
Vertex Impress Lion 4G  Gold                                ,   5690.00,     5.0,    1.30,     8.0,    1024,       8,    4400,     293
OnePlus 5 64GB  Slate Gray                                  ,  39990.00,     5.5,    2.45,    64.0,    6144,      16,    3300,     400
Sony Xperia XA1 Ultra  Black                                ,  27990.00,     6.0,    2.30,    32.0,    3072,      23,    2700,     367
Fly Stratus 7 FS458  Black                                  ,   2931.00,     4.5,    1.30,     8.0,     512,       5,    1750,     217
BQ 5022 Bond  White                                         ,   5990.00,     5.0,    1.30,     8.0,    1024,       8,    2300,     293
BQ 5520 Mercury LTE  Black                                  ,   8990.00,     5.5,    1.30,    16.0,    2048,      13,    3650,     267
Huawei P10 Lite  Black                                      ,  16990.40,     5.2,    2.10,    32.0,    3072,      12,    3000,     423
Alcatel OT-5044D U5  Sharp Blue                             ,   4990.00,     5.0,    1.10,     8.0,    1024,       5,    2050,     195
Huawei Y3 2017  Grey                                        ,   5990.00,     5.0,    1.30,     8.0,    1024,       5,    2200,     195
Micromax Сanvas Spark 2Pro Q351  Copper Gold                ,   4259.00,     5.0,    1.20,     8.0,    1024,       5,    2000,     195
Vertex Impress Lion 4G  Graphite                            ,   5690.00,     5.0,    1.30,     8.0,    1024,       8,    4400,     293
Doogee MIX 6GB+64GB  Black                                  ,  18890.00,     5.5,    2.50,    64.0,    6144,      16,    3380,     267
Sony Xperia XA1 Ultra  Gold                                 ,  27309.00,     6.0,    2.30,    32.0,    3072,      23,    2700,     367
Fly Selfie 1 FS520  Black                                   ,   8020.00,     5.2,    1.30,    16.0,    2048,      13,    3000,     282
BQ 5050 Strike Selfie  Gray                                 ,   6490.00,     5.0,    1.30,     8.0,    1024,      13,    2500,     293
BQ 5520 Mercury LTE  Gold                                   ,   8990.00,     5.5,    1.30,    16.0,    2048,      13,    3650,     267
Huawei Honor 6C  Silver                                     ,  11990.00,     5.0,    1.40,    32.0,    3072,      13,    3020,     293
Alcatel OT-5046D A3  Prime Black                            ,   8090.00,     5.0,    1.25,    16.0,    1536,      13,    2460,     293
Huawei Y3 2017  Gold                                        ,   5990.00,     5.0,    1.30,     8.0,    1024,       5,    2200,     195
Micromax Q398  Silver                                       ,   6990.00,     5.5,    1.30,    16.0,    1024,       8,    4700,     267
Vertex Impress Saturn  Gold                                 ,   4329.00,     5.0,    1.30,     8.0,    1024,       5,    2200,     293
Doogee MIX 4GB+64GB  Blue                                   ,  17890.00,     5.5,    2.50,    64.0,    4096,      16,    3380,     267
Sony Xperia XA1 Ultra  Pink                                 ,  27990.00,     6.0,    2.30,    32.0,    3072,      23,    2700,     367
Fly Selfie 1 FS520  Red                                     ,   8020.00,     5.2,    1.30,    16.0,    2048,      13,    3000,     282
BQ 5050 Strike Selfie  Rose Gold                            ,   6490.00,     5.0,    1.30,     8.0,    1024,      13,    2500,     293
BQ 5520 Mercury LTE  Silver                                 ,   8990.00,     5.5,    1.30,    16.0,    2048,      13,    3650,     267
Fly Stratus 6 FS407  Black                                  ,   2259.00,     4.0,    1.20,     4.0,     512,       2,    1300,     244
Alcatel OT-5046D A3  Pure White                             ,   8090.00,     5.0,    1.25,    16.0,    1536,      13,    2460,     293
BQ 5037 Strike Power 4G  Black                              ,   6990.00,     5.0,    1.10,     8.0,    1024,      13,    4000,     293
Micromax Bolt Warrior 1 Plus Q4101  Champagne Gold          ,   5090.00,     4.5,    1.30,     8.0,    1024,       5,    1800,     217
Vertex Impress Saturn  Orange                               ,   4329.00,     5.0,    1.30,     8.0,    1024,       5,    2200,     293
Doogee MIX 6GB+64GB  Blue                                   ,  18890.00,     5.5,    2.50,    64.0,    6144,      16,    3380,     267
Sony Xperia XA1 Ultra  White                                ,  27990.00,     6.0,    2.30,    32.0,    3072,      23,    2700,     367
Fly Cirrus 14 FS522  Red                                    ,   6304.00,     5.0,    1.45,    16.0,    2048,      13,    2400,     440
BQ 5050 Strike Selfie  Silver                               ,   6490.00,     5.0,    1.30,     8.0,    1024,      13,    2500,     293
BQ 6050 Jumbo LTE  Black                                    ,   8990.00,     6.0,    1.30,    16.0,    2048,      16,    4900,     244
Fly Stratus 6 FS407  White                                  ,   2490.00,     4.0,    1.20,     4.0,     512,       2,    1300,     244
Alcatel OT-5085D A5 LED  Metallic Black                     ,  11990.00,     5.2,    1.50,    16.0,    2048,      13,    2800,     282
BQ 5037 Strike Power 4G  Dark Gray                          ,   6990.00,     5.0,    1.10,     8.0,    1024,      13,    4000,     293
Micromax Bolt Warrior 2 Q4202  Black Grey                   ,   5990.00,     5.0,    1.10,     8.0,    1024,       5,    2000,     293
Motorola Moto C Plus  Black (XT1723)                        ,   8490.00,     5.0,    1.30,    16.0,    1024,       8,    4000,     293
BQ Aquaris X Pro  Black                                     ,  22281.00,     5.2,    2.20,    64.0,    4096,      12,    3100,     423
Huawei Honor 9 Premium  Grey                                ,  31990.00,     5.2,    2.40,   128.0,    6144,      20,    3200,     427
Xiaomi Redmi 4X (16GB)  Pink                                ,  10990.00,     5.0,    1.40,    16.0,    2048,      13,    4100,     293
BQ 5057 Strike 2  Black Brushed                             ,   5790.00,     5.0,    1.30,     8.0,    1024,      13,    2500,     293
BQ 6050 Jumbo LTE  Dark Blue                                ,   8990.00,     6.0,    1.30,    16.0,    2048,      16,    4900,     244
Fly Cirrus 3 FS506  Black                                   ,   3979.00,     5.0,    1.30,     8.0,    1024,       5,    2000,     293
Alcatel OT-5085D A5 LED  Metallic Silver                    ,  11990.00,     5.2,    1.50,    16.0,    2048,      13,    2800,     282
BQ 5037 Strike Power 4G  Rose Gold                          ,   6990.00,     5.0,    1.10,     8.0,    1024,      13,    4000,     293
Micromax Canvas Juice A1 Q4251  Black Grey                  ,   6990.00,     5.0,    1.10,     8.0,    1024,       8,    4000,     293
Motorola Moto C  Pearl White (XT1750)                       ,   4990.00,     5.0,    1.10,     8.0,    1024,       5,    2350,     195
BQ Aquaris X Pro  White                                     ,  22281.00,     5.2,    2.20,    64.0,    4096,      12,    3100,     423
Huawei Honor 9 Premium  Blue                                ,  31990.00,     5.2,    2.40,   128.0,    6144,      20,    3200,     427
Xiaomi Mi Note 2 (64GB)  Black                              ,  29990.00,     5.7,    2.35,    64.0,    4096,      22,    4000,     386
BQ 5057 Strike 2  Gray Brushed                              ,   5790.00,     5.0,    1.30,     8.0,    1024,      13,    2500,     293
Huawei Honor 6X  Gold                                       ,  15990.00,     5.5,    2.10,    32.0,    3072,      12,    3340,     400
Fly Cirrus 6 FS508  Black                                   ,   4029.00,     5.0,    1.30,     8.0,    1024,       5,    1900,     293
Philips X588 Xenium  Black                                  ,  13990.00,     5.0,    1.50,    32.0,    3072,      13,    5000,     293
Motorola Moto C  Starry Black (XT1754)                      ,   6490.00,     5.0,    1.10,    16.0,    1024,       5,    2350,     195
Micromax Canvas Juice A1 Q4251  Champagne Gold              ,   6990.00,     5.0,    1.10,     8.0,    1024,       8,    4000,     293
Motorola Moto C  Starry Black (XT1750)                      ,   4990.00,     5.0,    1.10,     8.0,    1024,       5,    2350,     195
Samsung SM-N950F Galaxy Note 8  Black                       ,  69990.00,     6.3,    2.30,    64.0,    6144,      12,    3300,     522
Vertex Impress Dune 4G  Black                               ,   5760.00,     5.0,    1.30,     8.0,    1024,       8,    2300,     293
Neffos X1  Grey                                             ,  10990.00,     5.0,    1.80,    16.0,    2048,      13,    2550,     293
BQ 5058 Strike Power Easy  Gray Brushed                     ,   5990.00,     5.0,    1.30,     8.0,    1024,       8,    5000,     195
Huawei Honor 6X  Silver                                     ,  15990.00,     5.5,    2.10,    32.0,    3072,      12,    3340,     400
Fly Nimbus 9 FS509  Lavender Blue                           ,   3429.00,     5.0,    1.30,     8.0,    1024,       5,    1900,     195
ASUS ZenFone Go ZB500KL 32GB  White                         ,   8990.00,     5.0,    1.00,    32.0,    2048,      13,    2600,     293
Motorola Moto C  Fine Gold (XT1754)                         ,   6490.00,     5.0,    1.10,    16.0,    1024,       5,    2350,     195
Micromax Q4260  Champagne                                   ,   7990.00,     5.0,    1.25,    16.0,    1024,       8,    4000,     293
Motorola Moto E4 Plus  Gold (XT1771)                        ,  13990.00,     5.5,    1.30,    16.0,    3072,      13,    5000,     267
Samsung SM-N950F Galaxy Note 8  Blue                        ,  69990.00,     6.3,    2.30,    64.0,    6144,      12,    3300,     522
Vertex Impress Dune 4G  Graphite                            ,   5760.00,     5.0,    1.30,     8.0,    1024,       8,    2300,     293
Neffos X1 Lite  Gold                                        ,   8990.00,     5.0,    1.50,    16.0,    2048,      13,    2550,     293
BQ 5059 Strike Power  Black Brushed                         ,   6490.00,     5.0,    1.30,     8.0,    1024,      13,    5000,     293
Huawei Honor 8 32GB  Black                                  ,  21990.00,     5.2,    2.30,    32.0,    4096,      12,    3000,     423
Fly Nimbus 9 FS509  Red                                     ,   3429.00,     5.0,    1.30,     8.0,    1024,       5,    1900,     195
Xiaomi Redmi 4X (16GB)  Gold                                ,  11990.00,     5.0,    1.40,    16.0,    2048,      13,    4100,     293
Motorola Moto C  Metallic Cherry (XT1754)                   ,   6490.00,     5.0,    1.10,    16.0,    1024,       5,    2350,     195
Micromax Сanvas Pace 2 Q480  White                          ,   5990.00,     5.0,    1.00,    16.0,    2048,       8,    2300,     293
Motorola Moto E4  Blue (XT1762)                             ,   9990.00,     5.0,    1.30,    16.0,    2048,       8,    2800,     293
Samsung SM-N950F Galaxy Note 8  Yellow                      ,  69990.00,     6.3,    2.30,    64.0,    6144,      12,    3300,     522
Vertex Impress Dune 4G  Red                                 ,   5760.00,     5.0,    1.30,     8.0,    1024,       8,    2300,     293
Neffos X1 Lite  Grey                                        ,   8990.00,     5.0,    1.50,    16.0,    2048,      13,    2550,     293
BQ 5059 Strike Power  Gray Brushed                          ,   6490.00,     5.0,    1.30,     8.0,    1024,      13,    5000,     293
Huawei Honor 8 32GB  White                                  ,  21990.00,     5.2,    2.30,    32.0,    4096,      12,    3000,     423
Fly Cirrus 11 FS517  Black Red                              ,   4560.00,     5.0,    1.50,     8.0,    1024,       8,    2100,     293
Xiaomi Redmi Note 4 (64GB)  Black                           ,  16890.00,     5.5,    2.00,    64.0,    4096,      13,    4100,     400
Motorola Moto C Plus  Whole Gold (XT1723)                   ,   8490.00,     5.0,    1.30,    16.0,    1024,       8,    4000,     293
Samsung SM-J730F Galaxy J7 (2017)  Gold                     ,  19990.00,     5.5,    1.90,    16.0,    2048,      13,    3600,     400
Motorola Moto E4  Grey (XT1762)                             ,   9990.00,     5.0,    1.30,    16.0,    2048,       8,    2800,     293
Senseit A200                                                ,   5490.00,     5.0,    1.00,     8.0,    1024,       8,    2500,     293
Vertex Impress Groove  Black                                ,   4500.00,     5.0,    1.30,     8.0,    1024,       8,    2400,     293
Neffos X1 Max  Cloud Grey                                   ,  13990.00,     5.5,    1.80,    32.0,    3072,      13,    3000,     400
BQ 5065 Choice  Black                                       ,   4390.00,     5.0,    1.30,     8.0,    1024,       8,    1800,     195
Huawei Honor 8 64GB  Blue                                   ,  24990.00,     5.2,    2.30,    64.0,    4096,      12,    3000,     423
Wileyfox Spark  White                                       ,   5990.00,     5.0,    1.30,     8.0,    1024,       8,    2200,     293
Doogee Y6 Piano (64GB)  White                               ,  12390.00,     5.5,    1.50,    64.0,    4096,      13,    3200,     267
Motorola Moto C Plus  Metallic Cherry (XT1723)              ,   8490.00,     5.0,    1.30,    16.0,    1024,       8,    4000,     293
Samsung SM-J730F Galaxy J7 (2017)  Black                    ,  19990.00,     5.5,    1.90,    16.0,    3072,      13,    3600,     400
Motorola Moto M  Grey (XT1663)                              ,  19990.00,     5.5,    1.80,    32.0,    3072,      16,    3050,     400
Senseit E510  Black                                         ,   7340.00,     5.5,    1.30,    16.0,    2048,      13,    4000,     267
Vertex Impress Lux  Titan                                   ,   9263.00,     5.5,    1.30,    16.0,    2048,      13,    3100,     400
Neffos X1 Max  Sunrise Gold                                 ,  13990.00,     5.5,    1.80,    32.0,    3072,      13,    3000,     400
BQ 5065 Choice  White                                       ,   4390.00,     5.0,    1.30,     8.0,    1024,       8,    1800,     195
Huawei Honor 8 64GB  Gold                                   ,  24990.00,     5.2,    2.30,    64.0,    4096,      12,    3000,     423
Wileyfox Spark+  White                                      ,   6790.00,     5.0,    1.30,    16.0,    2048,      13,    2200,     293
Xiaomi Redmi Note 4 (32GB)  Grey                            ,  14990.00,     5.5,    2.00,    32.0,    3072,      13,    4100,     400
Samsung Galaxy J1 Mini Prime SM-J106F  Black                ,   5990.00,     4.0,    1.50,     8.0,    1024,       5,    1500,     233
Ark Benefit S503 Max  Black                                 ,   3990.00,     5.0,    1.30,     8.0,     512,       5,    2000,     220
Samsung SM-J730F Galaxy J7 (2017)  Pink                     ,  19990.00,     5.5,    1.90,    16.0,    3072,      13,    3600,     400
Senseit R450  Orange                                        ,  10990.00,     4.5,    1.00,     8.0,    1024,       8,    3000,     217
